Date,Ticker,Metric,Value
2024-12-17,INFY,MA90,1849.2204440646701
2024-12-18,INFY,MA90,1852.0213066948784
2024-12-19,INFY,MA90,1854.162129720052
2024-12-20,INFY,MA90,1855.7507215711805
2024-12-23,INFY,MA90,1857.362331814236
2024-12-24,INFY,MA90,1858.5273396809896
2024-12-26,INFY,MA90,1859.2875108506944
2024-12-27,INFY,MA90,1860.0867513020833
2024-12-30,INFY,MA90,1860.688037109375
2024-12-31,INFY,MA90,1860.9990261501737
2025-01-01,INFY,MA90,1861.2556125217013
2025-01-02,INFY,MA90,1862.5344360351562
2025-01-03,INFY,MA90,1863.4517686631943
2025-01-06,INFY,MA90,1864.0997762044271
2025-01-07,INFY,MA90,1864.2485744900173
2025-01-08,INFY,MA90,1864.4848673502604
2025-01-09,INFY,MA90,1864.435366482205
2025-01-10,INFY,MA90,1864.7045355902778
2025-01-13,INFY,MA90,1865.1735405815973
2025-01-14,INFY,MA90,1865.6035237630208
2025-01-15,INFY,MA90,1866.0227728949653
2025-01-16,INFY,MA90,1866.5488254123263
2025-01-17,INFY,MA90,1865.9147447374132
2025-01-20,INFY,MA90,1865.0658949110243
2025-01-21,INFY,MA90,1864.1022800021701
2025-01-22,INFY,MA90,1863.3129204644097
2025-01-23,INFY,MA90,1862.690965440538
2025-01-24,INFY,MA90,1862.1119533962674
2025-01-27,INFY,MA90,1860.9223768446182
2025-01-28,INFY,MA90,1860.4720648871528
2025-01-29,INFY,MA90,1860.5638278537326
2025-01-30,INFY,MA90,1860.297077094184
2025-01-31,INFY,MA90,1860.3485772026909
2025-02-01,INFY,MA90,1860.065059407552
2025-02-03,INFY,MA90,1859.9482286241318
2025-02-04,INFY,MA90,1860.1667426215279
2025-02-05,INFY,MA90,1860.2956624348958
2025-02-06,INFY,MA90,1860.965847439236
2025-02-07,INFY,MA90,1861.1930840386285
2025-02-10,INFY,MA90,1861.2831041124132
2025-02-11,INFY,MA90,1861.0540432400173
2025-02-12,INFY,MA90,1860.5130588107638
2025-02-13,INFY,MA90,1859.599651421441
2025-02-14,INFY,MA90,1858.784828016493
2025-02-17,INFY,MA90,1858.1811428493925
2025-02-18,INFY,MA90,1857.5087727864584
2025-02-19,INFY,MA90,1856.127685546875
2025-02-20,INFY,MA90,1854.8994954427083
2025-02-21,INFY,MA90,1853.9847683376736
2025-02-24,INFY,MA90,1851.9923217773437
2025-02-25,INFY,MA90,1850.9980929904514
2025-02-27,INFY,MA90,1850.2574924045139
2025-02-28,INFY,MA90,1848.6900499131943
2025-03-03,INFY,MA90,1847.1154324001736
2025-03-04,INFY,MA90,1845.4272691514757
2025-03-05,INFY,MA90,1844.0073893229167
2025-03-06,INFY,MA90,1842.5994208441841
2025-03-07,INFY,MA90,1840.9197211371527
2025-03-10,INFY,MA90,1839.8169040256075
2025-03-11,INFY,MA90,1838.7688707139757
2025-03-12,INFY,MA90,1836.9061903211805
2025-03-13,INFY,MA90,1834.8923027886285
2025-03-17,INFY,MA90,1833.0937215169272
2025-03-18,INFY,MA90,1830.5336317274305
2025-03-19,INFY,MA90,1828.1614529079861
2025-03-20,INFY,MA90,1825.8122856987848
2025-03-21,INFY,MA90,1822.8807562934028
2025-03-24,INFY,MA90,1819.8560913085937
2025-03-25,INFY,MA90,1817.2269707573785
2025-03-26,INFY,MA90,1814.3222846137153
2025-03-27,INFY,MA90,1812.0443372938369
2025-03-28,INFY,MA90,1809.2601779513889
2025-04-01,INFY,MA90,1805.8903686523438
2025-04-02,INFY,MA90,1802.032428656684
2025-04-03,INFY,MA90,1797.7241577148438
2025-04-04,INFY,MA90,1792.547001139323
2025-04-07,INFY,MA90,1786.764473470052
2025-04-08,INFY,MA90,1782.0765448676216
2025-04-09,INFY,MA90,1777.100447591146
2025-04-11,INFY,MA90,1771.9468478732638
2025-04-15,INFY,MA90,1766.8398152669272
2025-04-16,INFY,MA90,1761.6226657443576
2025-04-17,INFY,MA90,1755.9760036892362
2025-04-21,INFY,MA90,1750.8108995225693
2025-04-22,INFY,MA90,1745.3231133355034
2025-04-23,INFY,MA90,1740.1333550347222
2025-04-24,INFY,MA90,1734.6247504340279
2025-04-25,INFY,MA90,1729.071770562066
2025-04-28,INFY,MA90,1723.4004557291667
2025-04-29,INFY,MA90,1718.1131822374132
2025-04-30,INFY,MA90,1712.8921969943576
2025-05-02,INFY,MA90,1707.7177788628471
2025-05-05,INFY,MA90,1702.9230197482639
2025-05-06,INFY,MA90,1698.4235500759548
2025-05-07,INFY,MA90,1693.8654608832464
2025-05-08,INFY,MA90,1689.50843234592
2025-05-09,INFY,MA90,1685.127845594618
2025-05-12,INFY,MA90,1681.9519761827257
2025-05-13,INFY,MA90,1678.2551025390626
2025-05-14,INFY,MA90,1675.103885904948
2025-05-15,INFY,MA90,1672.1509887695313
2025-05-16,INFY,MA90,1668.1193806966146
2025-05-19,INFY,MA90,1663.9672458224827
2025-05-20,INFY,MA90,1659.8337375217013
2025-05-21,INFY,MA90,1655.8634874131944
2025-05-22,INFY,MA90,1651.6379408094617
2025-05-23,INFY,MA90,1647.7756171332464
2025-05-26,INFY,MA90,1643.5413058810764
2025-05-27,INFY,MA90,1639.2450887044272
2025-05-28,INFY,MA90,1635.2101928710938
2025-05-29,INFY,MA90,1631.2213161892362
2025-05-30,INFY,MA90,1627.454728190104
2025-06-02,INFY,MA90,1624.8273871527779
2025-06-03,INFY,MA90,1622.1036010742187
2025-06-04,INFY,MA90,1619.608984375
2025-06-05,INFY,MA90,1616.5379638671875
2025-06-06,INFY,MA90,1613.4738864474825
2025-06-09,INFY,MA90,1610.4013495551214
2025-06-10,INFY,MA90,1608.1711276584201
2025-06-11,INFY,MA90,1606.245989312066
2025-06-12,INFY,MA90,1603.5065687391493
2025-06-13,INFY,MA90,1600.927198621962
2025-06-16,INFY,MA90,1598.3725545247396
2025-06-17,INFY,MA90,1596.308524576823
2025-06-18,INFY,MA90,1594.0357801649307
2025-06-19,INFY,MA90,1591.212953016493
2025-06-20,INFY,MA90,1588.4593017578125
2025-06-23,INFY,MA90,1585.06962890625
2025-06-24,INFY,MA90,1581.784772406684
2025-06-25,INFY,MA90,1579.1257609049478
2025-06-26,INFY,MA90,1576.5299207899307
2025-06-27,INFY,MA90,1573.9821533203126
2025-06-30,INFY,MA90,1571.5835408528646
2025-07-01,INFY,MA90,1569.096400282118
